"","id","title","first_name","last_name","email","amount_spent_on_dog_food","dog_size","dog_gender","dog_age"
"1","1","Mrs","Frasquito","Dene","fdene0@dell.com",80.05,"S","M",53
"2","2","Ms","Lawrence","Kardos","lkardos1@diigo.com",66.3,"XL","M",2
"3","3","Rev","Lanna","Wintersgill","lwintersgill2@domainmarket.com",25.84,"L","F",71
"4","4","Rev","Richmound","Kimmitt","rkimmitt3@jiathis.com",50.76,"M","M",9
"5","5","Rev","Valeda","Dallender","vdallender4@theglobeandmail.com",83.41,"XL","F",23
"6","6","Honorable","Duky","Cavell","dcavell5@seesaa.net",80.18,"XL","M",74
"7","7","Rev","Neal","Gabbetis","ngabbetis6@admin.ch",98.59,"L","M",46
"8","8","Ms","Farrel","Swindin","fswindin7@printfriendly.com",64.2,"S","M",84
"9","9","Dr","Latrena","Heinsh","lheinsh8@i2i.jp",7.44,"XL","F",69
"10","10","Mrs","Josh","Daunay","jdaunay9@mysql.com",55.84,"M","M",24
"11","11","Mr","Gabbie","Caldeyroux","gcaldeyrouxa@ca.gov",30.25,"L","F",60
"12","12","Dr","Krystle","Fincke","kfinckeb@usatoday.com",58.37,"XL","F",43
"13","13","Dr","Agosto","Bewshaw","abewshawc@oaic.gov.au",45.7,"XL","M",49
"14","14","Ms","Regina","Sinson","rsinsond@stanford.edu",98.51,"L","F",50
"15","15","Dr","Nefen","Boch","nboche@webnode.com",62.45,"L","M",82
"16","16","Dr","Conn","Duffrie","cduffrief@arizona.edu",27.78,"L","M",19
"17","17",NA,"Karoly","Buxcy","kbuxcyg@howstuffworks.com",68,"XL","F",11
"18","18","Ms","Wilow","Tremayle","wtremayleh@timesonline.co.uk",52.88,"L","F",55
"19","19","Ms","Brooks","Marde","bmardei@smugmug.com",58.36,"XS","M",94
"20","20","Mrs","Harrietta","Libbie","hlibbiej@house.gov",21.72,"M","F",11
"21","21","Mrs","Ephrayim","Misson",NA,86.15,"XL","M",79
"22","22","Dr","Cecilius","Dimock","cdimockl@symantec.com",44.67,"XL","M",57
"23","23","Mr","Abbe","Curle","acurlem@marketwatch.com",35,"XL","F",11
"24","24","Rev","Bald","Hars","bharsn@upenn.edu",NA,"L","M",68
"25","25",NA,"Jay","Buckle","jbuckleo@archive.org",44.71,"S","M",61
"26","26","Ms","Malachi","Carillo","mcarillop@army.mil",19.96,"XL","M",29
"27","27","Honorable","Caldwell","Shawcross","cshawcrossq@icq.com",97.59,"XS","M",97
"28","28","Dr","Russell","Grewer","rgrewerr@bloglines.com",36.97,"S","M",20
"29","29","Ms","Wait","Morsley","wmorsleys@goo.ne.jp",20.2,"XL","M",82
"30","30","Mr","Mellicent","Larking","mlarkingt@engadget.com",80.75,"XL","F",6
"31","31","Dr","Martin","Nairy","mnairyu@biglobe.ne.jp",93.12,"XL","M",95
"32","32","Mr","Sergei","Roseaman","sroseamanv@facebook.com",17.59,"XL","M",86
"33","33","Mrs","Jock","Doonican","jdoonicanw@oaic.gov.au",40.47,"XS","M",48
"34","34",NA,"Tera","Bresson","tbressonx@reddit.com",93.53,"XL","F",15
"35","35","Dr","Cobby","Massard","cmassardy@berkeley.edu",11.15,"XL","M",41
"36","36","Dr","Gale","Ollerhad","gollerhadz@walmart.com",7,"XS","M",83
"37","37",NA,"Duffy","Heatley","dheatley10@independent.co.uk",91.42,"XL","M",93
"38","38","Rev","Inness","Mauvin","imauvin11@g.co",98.81,"XL","M",NA
"39","39",NA,"Lorna","Ebbitt","lebbitt12@t.co",23.03,"XL","F",50
"40","40","Rev","Basilius","Hall","bhall13@cisco.com",68.98,"XL","M",51
"41","41",NA,"Q","Dundendale","qdundendale14@naver.com",6.78,"M","F",19
"42","42","Mr","Maximo","De Hailes","mdehailes15@hao123.com",66.04,"L","M",28
"43","43","Rev","Linzy","Brigham","lbrigham16@51.la",50.86,"L","F",40
"44","44","Dr","Sayers","Brodeau","sbrodeau17@foxnews.com",43.13,"XL","M",58
"45","45","Mr","Neile","Kesper","nkesper18@blogs.com",NA,"XS","F",41
"46","46","Honorable","Brucie","Hallyburton","bhallyburton19@sakura.ne.jp",86.85,"S","M",18
"47","47","Dr","Sharron","Spradbery","sspradbery1a@de.vu",22.26,"XS","F",97
"48","48",NA,"Benedetto","Sabie","bsabie1b@theguardian.com",46.71,"XL","M",93
"49","49","Honorable","Ricki","Haithwaite","rhaithwaite1c@ebay.com",53.35,NA,"M",92
"50","50","Rev","Raynell","Alker","ralker1d@forbes.com",13.42,"XL","F",81
"51","51","Honorable","Jedidiah","Basnett","jbasnett1e@unc.edu",40.24,"XL","M",9
"52","52","Ms","Talya","Brenston","tbrenston1f@sogou.com",99.55,"M","F",45
"53","53",NA,"Jarrad","Rogerot","jrogerot1g@51.la",40.25,"XL","M",86
"54","54","Dr","Pavel","Danter","pdanter1h@purevolume.com",66.63,"XL","M",3
"55","55","Mr","Peggi","McRill","pmcrill1i@instagram.com",93.79,"XS","F",16
"56","56","Rev","Tabby","Balk",NA,82.74,"M","F",85
"57","57","Mr","Mathew","Thexton","mthexton1k@etsy.com",33.23,"XL","F",86
"58","58","Mrs","Tom","Dunrige","tdunrige1l@examiner.com",NA,"XS","M",21
"59","59","Mr","Noreen","Cousins","ncousins1m@posterous.com",96.87,"M","F",30
"60","60",NA,"Penni","Fray","pfray1n@slate.com",43.07,"XL","F",2
